berry,observation_date,main_tree_type,forest_development_class,x,y,year,month,day,week_number,monthday,year-month-day,xy,lat,lon,latlon
bilberry,2018-07-07,pine,old,410000,7040000,2018,7,7,27,707,2018-07-07,410000-7040000,63.476942248701455,25.193478894289928,63.476942248701-25.193478894290-2018-07-07-bilberry
lingonberry,2018-08-06,pine,old,410000,7040000,2018,8,6,32,806,2018-08-06,410000-7040000,63.476942248701455,25.193478894289928,63.476942248701-25.193478894290-2018-08-06-lingonberry
cloudberry,2018-07-07,pine,clearing,410000,7040000,2018,7,7,27,707,2018-07-07,410000-7040000,63.476942248701455,25.193478894289928,63.476942248701-25.193478894290-2018-07-07-cloudberry
bilberry,2022-07-16,pine,old,410000,7040000,2022,7,16,28,716,2022-07-16,410000-7040000,63.476942248701455,25.193478894289928,63.476942248701-25.193478894290-2022-07-16-bilberry
lingonberry,2022-08-28,pine,old,410000,7040000,2022,8,28,34,828,2022-08-28,410000-7040000,63.476942248701455,25.193478894289928,63.476942248701-25.193478894290-2022-08-28-lingonberry
cloudberry,2022-07-16,pine,clearing,410000,7040000,2022,7,16,28,716,2022-07-16,410000-7040000,63.476942248701455,25.193478894289928,63.476942248701-25.193478894290-2022-07-16-cloudberry
bilberry,2019-07-20,pine,old,410000,7040000,2019,7,20,29,720,2019-07-20,410000-7040000,63.476942248701455,25.193478894289928,63.476942248701-25.193478894290-2019-07-20-bilberry
lingonberry,2019-08-18,pine,old,410000,7040000,2019,8,18,33,818,2019-08-18,410000-7040000,63.476942248701455,25.193478894289928,63.476942248701-25.193478894290-2019-08-18-lingonberry
cloudberry,2019-07-20,pine,clearing,410000,7040000,2019,7,20,29,720,2019-07-20,410000-7040000,63.476942248701455,25.193478894289928,63.476942248701-25.193478894290-2019-07-20-cloudberry
bilberry,2020-07-14,pine,old,410000,7040000,2020,7,14,29,714,2020-07-14,410000-7040000,63.476942248701455,25.193478894289928,63.476942248701-25.193478894290-2020-07-14-bilberry
lingonberry,2020-08-17,pine,old,410000,7040000,2020,8,17,34,817,2020-08-17,410000-7040000,63.476942248701455,25.193478894289928,63.476942248701-25.193478894290-2020-08-17-lingonberry
cloudberry,2020-07-14,pine,clearing,410000,7040000,2020,7,14,29,714,2020-07-14,410000-7040000,63.476942248701455,25.193478894289928,63.476942248701-25.193478894290-2020-07-14-cloudberry
bilberry,2018-07-16,spruce,old,350000,7070000,2018,7,16,29,716,2018-07-16,350000-7070000,63.7255682905868,23.962165686083218,63.725568290587-23.962165686083-2018-07-16-bilberry
bilberry,2021-08-01,pine,plantation,350000,7070000,2021,8,1,30,801,2021-08-01,350000-7070000,63.7255682905868,23.962165686083218,63.725568290587-23.962165686083-2021-08-01-bilberry
lingonberry,2021-08-15,pine,plantation,350000,7070000,2021,8,15,32,815,2021-08-15,350000-7070000,63.7255682905868,23.962165686083218,63.725568290587-23.962165686083-2021-08-15-lingonberry
bilberry,2020-07-28,pine,old,350000,7070000,2020,7,28,31,728,2020-07-28,350000-7070000,63.7255682905868,23.962165686083218,63.725568290587-23.962165686083-2020-07-28-bilberry
bilberry,2018-07-17,spruce,plantation,420000,7300000,2018,7,17,29,717,2018-07-17,420000-7300000,65.81137094835535,25.25010303625488,65.811370948355-25.250103036255-2018-07-17-bilberry
cloudberry,2018-07-17,birch,clearing,420000,7300000,2018,7,17,29,717,2018-07-17,420000-7300000,65.81137094835535,25.25010303625488,65.811370948355-25.250103036255-2018-07-17-cloudberry
bilberry,2018-07-19,spruce,old,440000,7370000,2018,7,19,29,719,2018-07-19,440000-7370000,66.44357657238494,25.654530691515745,66.443576572385-25.654530691516-2018-07-19-bilberry
lingonberry,2018-08-27,pine,clearing,440000,7370000,2018,8,27,35,827,2018-08-27,440000-7370000,66.44357657238494,25.654530691515745,66.443576572385-25.654530691516-2018-08-27-lingonberry
