xy,osite,lohko,koeala,kuvio,koko9,koko564,kunta,maku,vv,mluok,fra,alar,kptylm,ojtil,pt,jaksot,khlk,ppa,kasru,klpm,kpituus,ika,kokru,laatu,bm1,bm2,bm1ma,bm2ma,bm1ku,bm2ku,bm1ko,bm2ko,bm1ml,bm2ml,n_l
100000-6650000,0.0,1012.0,4.0,1.0,10.0,10.0,417.0,21.0,18.0,3.0,3.0,1.0,0.0,0.0,1.0,,,,0.0,,,,0.0,,,,,,,,,,,,
100000-6670000,0.0,6022.0,3.0,1.0,10.0,10.0,437.3333333333333,21.0,18.0,3.6666666666666665,3.0,1.0,0.0,0.0,1.6666666666666667,,,,0.0,,,,0.0,,,,,,,,,,,,
100000-6680000,0.0,64086.625,3.28125,1.15625,8.4375,8.4375,256.625,21.0,18.0,3.25,2.03125,1.0526315789473684,0.3333333333333333,0.0,2.6875,1.2352941176470589,4.733333333333333,18.11764705882353,1100.0,21.33333333333333,148.52941176470588,63.52941176470589,1800.0,2.8,80.94660371933529,22.813968717941176,51.467561646041176,14.69270010034706,5.012531861982353,1.6640683702294117,11.995316439864704,3.5054655968941173,12.471193771994118,2.9517346505117645,17.823529411764707
100000-6690000,0.0,83235.76470588235,3.0294117647058822,1.1470588235294117,8.529411764705882,8.529411764705882,90.58823529411764,21.0,18.0,3.0294117647058822,1.8529411764705883,1.2,0.6666666666666666,0.4444444444444444,2.8823529411764706,1.2352941176470589,5.066666666666666,17.647058823529413,0.0,23.357142857142858,144.35294117647058,77.0,0.0,2.2857142857142856,63.04150682406316,19.08797589693684,36.75833069858421,11.215214794110526,8.874728467647367,2.9935548655789472,6.192662790142106,2.0636350873157894,11.215784868042103,2.81557114988421,18.294117647058822
100000-6700000,0.0,190757.27272727276,4.0,1.2727272727272727,7.272727272727272,7.272727272727272,60.48484848484848,21.0,18.0,2.606060606060606,1.7878787878787878,1.125,0.0,0.0,2.6666666666666665,1.0476190476190477,4.8,19.33333333333333,1550.0,21.6,142.14285714285714,73.9047619047619,2700.0,2.2,76.7251949054,21.112869157742857,23.930607061238096,7.646950268471428,21.05519313804286,6.294661486061905,9.838755146366664,2.446715075061905,21.90063955965238,4.7245423281238095,14.19047619047619
100000-6710000,0.0,84930.88888888889,3.0,1.1111111111111112,8.833333333333334,8.86111111111111,64.44444444444444,21.0,18.0,2.055555555555556,1.5,1.15625,0.0,0.0,2.638888888888889,1.0,4.944444444444445,17.48148148148148,1875.0,22.22222222222222,127.77777777777776,75.5925925925926,7075.0,2.1666666666666665,69.9665928209037,22.39488699126296,54.77098855722222,17.604055118814816,9.887441440503702,3.200187387325926,4.659153110262963,1.391519415837037,0.6490097128444444,0.1991250692296296,18.814814814814813
100000-6720000,0.0,92042.0,2.5,1.0,10.0,10.0,60.0,21.0,18.0,3.0,3.0,1.0,0.0,0.0,1.0,,,,0.0,,,,0.0,,,,,,,,,,,,
110000-6660000,0.0,104023.0,3.4,1.4,6.4,6.0,62.0,21.0,18.0,2.6,2.6,1.0,0.0,0.0,1.0,1.0,6.0,22.0,0.0,19.0,117.0,91.0,0.0,4.0,20.748302927,5.057983389,0.0,0.0,0.0,0.0,0.0,0.0,20.748302927,5.057983389,6.0
110000-6670000,0.0,89520.125,3.9583333333333335,1.2083333333333333,7.875,7.916666666666667,417.0,21.0,18.0,2.333333333333333,1.7916666666666667,1.4444444444444444,0.0,0.8,2.9166666666666665,1.0666666666666669,4.714285714285714,16.266666666666666,0.0,18.153846153846157,144.0,52.0,0.0,2.3846153846153846,60.14689694254375,18.34174407248125,29.40545521756875,8.48989921721875,13.700621788318749,4.58164047801875,14.90213347151875,4.64290423158125,2.138686464875,0.6273001456624999,18.8
110000-6680000,0.0,143062.69565217392,4.826086956521739,1.0869565217391304,9.130434782608695,9.130434782608695,288.1304347826087,21.0,18.0,3.391304347826087,2.0869565217391304,1.0909090909090908,0.5454545454545454,0.3636363636363636,2.869565217391304,1.181818181818182,5.0,21.363636363636363,900.0,24.7,176.8181818181818,67.45454545454545,9000.0,2.6,104.66416454752726,31.28663365638182,37.43313544015455,11.079045312527272,19.314671135654542,7.231727902418182,28.834684752890908,8.246358269554547,19.081673220372725,4.7295021720272725,19.454545454545453
110000-6690000,0.0,106814.42857142857,4.321428571428571,1.1428571428571428,8.928571428571429,8.928571428571429,386.4642857142857,21.0,18.0,3.4642857142857144,2.1785714285714284,1.0769230769230769,0.5,0.0833333333333333,2.892857142857143,1.0833333333333333,4.916666666666667,22.416666666666668,0.0,23.63636363636364,161.16666666666666,59.75,0.0,2.363636363636364,75.01017486369231,21.004069554061537,51.73231193423077,14.217759104069232,11.842103239861538,3.497382953684616,4.554152595723076,1.272803823576923,6.881607093661539,2.0161236725230767,20.666666666666668
110000-6700000,0.0,119339.6304347826,3.6739130434782608,1.108695652173913,8.91304347826087,8.91304347826087,589.0434782608696,21.0,18.0,3.065217391304348,1.8695652173913044,1.0,0.0,0.0833333333333333,2.8043478260869565,1.0416666666666667,4.368421052631579,15.208333333333334,1550.0,18.47058823529412,117.41666666666669,55.458333333333336,3662.5,2.235294117647059,55.669056729988455,16.560668214403847,33.066675199076926,10.121086473842308,9.218026377007693,2.782213041453846,11.963101248746154,3.1868004561538466,1.42125390525,0.470568243023077,15.695652173913045
