,berry_x,observation_date,main_tree_type,year,week_number,monthday,lat_x,lon_x,temp,dew,humidity,pressure,cloudcover,solarradiation,solarenergy,uvindex,county,wd_pro_limit,wood_qualty,city_name,region,altitude,berry_x_num,main_tree_type_num,forest_development_class_num
0,bilberry,2018-07-07,pine,2018,27,707,63.476942248701455,25.193478894289928,17.5,12.7,74.5,1009.1,33.3,296.2,23.3,7.0,13.0,3.0,1.5,Pihtipudas,Western Finland Province,133.97848510742188,1,1,1
1,lingonberry,2018-08-06,pine,2018,32,806,63.476942248701455,25.193478894289928,13.9,10.4,80.1,1000.5,69.5,169.3,10.4,4.0,13.0,3.0,1.5,Pihtipudas,Western Finland Province,133.97848510742188,3,1,1
2,cloudberry,2018-07-07,pine,2018,27,707,63.476942248701455,25.193478894289928,17.5,12.7,74.5,1009.1,33.3,296.2,23.3,7.0,13.0,3.0,1.5,Pihtipudas,Western Finland Province,133.97848510742188,2,1,2
3,bilberry,2022-07-16,pine,2022,28,716,63.476942248701455,25.193478894289928,13.7,9.8,79.1,1001.8,76.4,257.3,17.7,6.0,13.0,3.0,1.5,Pihtipudas,Western Finland Province,133.97848510742188,1,1,1
4,lingonberry,2022-08-28,pine,2022,34,828,63.476942248701455,25.193478894289928,14.4,12.1,87.1,1015.9,80.8,203.6,6.5,5.0,13.0,3.0,1.5,Pihtipudas,Western Finland Province,133.97848510742188,3,1,1
5,cloudberry,2022-07-16,pine,2022,28,716,63.476942248701455,25.193478894289928,13.7,9.8,79.1,1001.8,76.4,257.3,17.7,6.0,13.0,3.0,1.5,Pihtipudas,Western Finland Province,133.97848510742188,2,1,2
6,bilberry,2019-07-20,pine,2019,29,720,63.476942248701455,25.193478894289928,15.9,9.8,70.7,1014.7,14.1,291.6,20.9,7.0,13.0,3.0,1.5,Pihtipudas,Western Finland Province,133.97848510742188,1,1,1
7,lingonberry,2019-08-18,pine,2019,33,818,63.476942248701455,25.193478894289928,16.4,12.8,79.6,1011.0,77.3,132.3,7.5,5.0,13.0,3.0,1.5,Pihtipudas,Western Finland Province,133.97848510742188,3,1,1
8,cloudberry,2019-07-20,pine,2019,29,720,63.476942248701455,25.193478894289928,15.9,9.8,70.7,1014.7,14.1,291.6,20.9,7.0,13.0,3.0,1.5,Pihtipudas,Western Finland Province,133.97848510742188,2,1,2
9,bilberry,2020-07-14,pine,2020,29,714,63.476942248701455,25.193478894289928,11.7,8.2,81.0,1012.8,60.9,162.5,11.6,5.0,13.0,3.0,1.5,Pihtipudas,Western Finland Province,133.97848510742188,1,1,1
10,lingonberry,2020-08-17,pine,2020,34,817,63.476942248701455,25.193478894289928,10.3,5.5,74.4,1013.4,17.5,296.1,18.0,7.0,13.0,3.0,1.5,Pihtipudas,Western Finland Province,133.97848510742188,3,1,1
11,cloudberry,2020-07-14,pine,2020,29,714,63.476942248701455,25.193478894289928,11.7,8.2,81.0,1012.8,60.9,162.5,11.6,5.0,13.0,3.0,1.5,Pihtipudas,Western Finland Province,133.97848510742188,2,1,2
