lat,lon,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,windspeed,winddir,pressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,moonphase,year-month-day,berry,latlon
65.54665943322267,28.2990554464514,27.1,8.5,19.5,27.0,8.5,19.4,11.9,66.1,11.2,260.7,1010.5,9.2,20.1,None,None,None,0.64,2021-07-28,bilberry,65.546659433223-28.299055446451-2021-07-28-bilberry
62.82504439598755,30.14092931794754,23.7,13.7,19.4,23.7,13.7,19.4,14.8,76.2,8.4,142.9,1007.2,50.4,33.9,None,None,None,0.02,2020-07-21,cloudberry,62.825044395988-30.140929317948-2020-07-21-cloudberry
63.39803169438057,26.59971112265592,20.2,13.4,16.8,20.2,13.4,16.8,14.5,87.2,15.7,99.9,1010.4,87.7,29.8,None,None,None,0.0,2021-08-08,lingonberry,63.398031694381-26.599711122656-2021-08-08-lingonberry
62.4047151582916,25.645460790516363,29.0,13.0,22.7,28.2,13.0,22.4,12.7,57.5,9.4,27.4,1015.9,17.9,10.0,None,None,None,0.11,2018-07-16,cloudberry,62.404715158292-25.645460790516-2018-07-16-cloudberry
60.53170082552993,22.25959626647885,24.0,17.0,19.8,24.0,17.0,19.8,17.6,87.8,18.3,292.3,1005.9,78.4,9.9,218.6,14.7,6.0,0.28,2018-07-21,bilberry,60.531700825530-22.259596266479-2018-07-21-bilberry
61.95602255994317,25.66539384328186,13.8,5.0,9.6,13.8,4.8,9.2,5.4,76.7,14.4,189.9,1022.1,59.7,11.4,None,None,None,0.5,2022-09-10,lingonberry,61.956022559943-25.665393843282-2022-09-10-lingonberry
69.57940593185836,28.79786167051738,14.4,7.9,11.2,14.4,6.7,11.0,8.2,82.8,14.3,136.5,1007.8,92.2,21.3,None,None,None,0.53,2019-08-16,cloudberry,69.579405931858-28.797861670517-2019-08-16-cloudberry
61.06271598849624,27.74103603364305,16.6,8.5,13.6,16.6,8.3,13.6,10.4,81.5,16.7,224.4,1007.0,25.2,39.2,None,None,None,0.5,2019-08-15,bilberry,61.062715988496-27.741036033643-2019-08-15-bilberry
60.460426507890666,22.816310845210538,20.3,9.8,15.4,20.3,9.2,15.4,8.0,66.3,12.6,322.9,1009.1,38.3,40.8,308.2,21.3,7.0,0.34,2019-07-12,bilberry,60.460426507891-22.816310845211-2019-07-12-bilberry
64.91679395245464,28.479943276795098,27.4,14.3,19.8,27.4,14.3,19.8,14.0,72.1,11.3,127.9,1011.1,36.5,39.5,None,None,None,0.19,2021-07-15,cloudberry,64.916793952455-28.479943276795-2021-07-15-cloudberry
67.34625743545892,26.767357485752843,18.4,4.8,11.9,18.4,3.0,11.5,7.5,76.1,17.7,193.9,1021.4,82.3,39.9,90.8,7.8,3.0,0.75,2021-08-30,lingonberry,67.346257435459-26.767357485753-2021-08-30-lingonberry
65.54665943322267,28.2990554464514,26.0,11.7,18.8,26.0,11.7,18.8,13.8,75.0,13.6,152.2,1011.5,45.8,20.4,None,None,None,0.19,2021-07-15,cloudberry,65.546659433223-28.299055446451-2021-07-15-cloudberry
65.27557877910549,28.50001808906843,18.6,14.2,15.8,18.6,14.2,15.8,14.2,90.5,11.9,182.3,1012.6,78.2,21.2,None,None,None,0.06,2021-08-10,bilberry,65.275578779105-28.500018089068-2021-08-10-bilberry
60.01813745633756,23.05202805743573,25.6,16.5,21.3,25.6,16.5,21.3,17.1,78.3,16.1,206.7,1012.0,34.1,25.7,254.1,21.8,7.0,0.35,2018-07-23,bilberry,60.018137456338-23.052028057436-2018-07-23-bilberry
61.59121559191374,21.720607487442773,14.1,8.8,11.5,14.1,5.2,10.7,10.5,93.7,33.6,268.9,1009.5,92.9,16.1,None,None,None,0.96,2020-09-16,lingonberry,61.591215591914-21.720607487443-2020-09-16-lingonberry
63.635949999523234,23.971753502658533,19.3,5.1,13.5,19.3,5.1,13.5,8.9,76.9,14.2,352.7,1013.0,28.9,18.2,None,None,None,0.55,2019-07-18,bilberry,63.635949999523-23.971753502659-2019-07-18-bilberry
67.34625743545892,26.767357485752843,13.8,7.7,11.5,13.8,6.3,11.3,7.0,74.1,15.1,30.2,1022.5,90.4,49.1,None,None,None,0.02,2022-07-29,cloudberry,67.346257435459-26.767357485753-2022-07-29-cloudberry
61.87354523693531,22.053058599542886,25.5,9.3,18.7,25.5,8.9,18.7,11.1,64.4,17.6,241.1,1014.9,3.4,34.0,None,None,None,0.25,2021-07-17,bilberry,61.873545236935-22.053058599543-2021-07-17-bilberry
64.37638813279627,25.341948147708543,20.7,6.5,14.0,20.7,5.6,13.7,8.4,72.7,12.2,223.6,1015.0,12.7,44.3,285.5,18.2,7.0,0.9,2021-08-05,bilberry,64.376388132796-25.341948147709-2021-08-05-bilberry
65.82074740991797,27.43761533629276,8.8,6.1,7.5,6.7,3.0,4.7,4.5,82.0,21.7,344.7,1021.9,91.8,36.7,None,None,None,0.25,2022-09-03,lingonberry,65.820747409918-27.437615336293-2022-09-03-lingonberry
65.6363569009751,28.30353967080252,16.8,9.1,13.9,16.8,8.1,13.8,9.1,75.7,14.8,249.3,1013.1,50.5,17.9,None,None,None,0.04,2022-08-28,lingonberry,65.636356900975-28.303539670803-2022-08-28-lingonberry
60.69713944216803,21.86819483088044,29.6,18.3,24.0,29.9,18.3,24.2,18.1,71.7,18.6,336.7,1022.8,21.0,32.9,253.3,17.3,7.0,0.5,2018-07-27,bilberry,60.697139442168-21.868194830880-2018-07-27-bilberry
62.44166773236055,22.929648244563293,22.4,12.1,17.8,22.4,12.1,17.8,13.6,78.1,13.1,151.7,1012.7,58.6,34.6,239.9,17.1,6.0,0.0,2020-07-20,bilberry,62.441667732361-22.929648244563-2020-07-20-bilberry
66.0746995880864,24.789876502368745,16.8,12.9,14.9,16.8,12.9,14.9,13.0,88.4,14.2,179.2,1009.5,87.6,38.4,None,None,None,0.56,2019-08-17,lingonberry,66.074699588086-24.789876502369-2019-08-17-lingonberry
67.14304456878698,24.23083160364509,30.3,15.3,23.9,30.4,15.3,23.8,15.1,61.8,12.2,251.2,1019.9,9.1,32.5,None,None,None,0.81,2019-07-26,cloudberry,67.143044568787-24.230831603645-2019-07-26-cloudberry
65.6363569009751,28.30353967080252,17.0,7.5,13.2,17.0,6.1,13.0,7.1,68.1,18.3,245.4,1000.9,55.4,20.8,None,None,None,0.33,2021-07-19,cloudberry,65.636356900975-28.303539670803-2021-07-19-cloudberry
66.35966051652532,27.00002078561729,17.9,6.8,13.7,17.9,6.8,13.7,10.8,83.1,17.2,197.1,1004.0,25.2,27.9,None,None,None,0.52,2020-08-04,bilberry,66.359660516525-27.000020785617-2020-08-04-bilberry
63.43760783505522,23.19015937565125,17.9,9.0,13.6,17.9,8.3,13.5,8.5,74.5,20.7,230.3,1018.7,27.7,29.7,305.0,18.6,6.0,0.73,2019-08-22,lingonberry,63.437607835055-23.190159375651-2019-08-22-lingonberry
63.36707523501455,29.99990159898199,16.5,9.7,14.8,16.5,9.7,14.8,8.4,65.9,18.4,261.4,1002.7,68.3,42.0,None,None,None,0.37,2021-07-20,bilberry,63.367075235015-29.999901598982-2021-07-20-bilberry
61.09838027511578,23.103620044219923,21.4,16.8,19.0,21.4,16.8,19.0,15.4,80.5,19.0,113.1,1007.0,61.5,33.3,62.7,4.1,2.0,0.64,2021-07-28,bilberry,61.098380275116-23.103620044220-2021-07-28-bilberry
65.99686534781587,25.898467471936097,21.0,8.6,16.4,21.0,7.5,16.3,9.5,65.8,23.4,229.3,1008.7,29.8,35.9,None,None,None,0.25,2021-07-17,cloudberry,65.996865347816-25.898467471936-2021-07-17-cloudberry
65.54465389476104,28.515474717463324,28.0,14.0,22.0,27.8,14.0,22.0,15.2,69.5,10.2,215.8,1014.4,24.3,17.0,None,None,None,0.38,2018-07-24,cloudberry,65.544653894761-28.515474717463-2018-07-24-cloudberry
65.36726081535849,28.29018836267341,16.6,11.1,13.5,16.6,11.1,13.5,11.7,89.5,10.4,281.0,1007.7,89.4,20.1,None,None,None,0.53,2019-08-16,lingonberry,65.367260815358-28.290188362673-2019-08-16-lingonberry
65.18360843386299,28.708394121340653,27.7,15.3,22.3,27.2,15.3,22.2,12.4,56.5,12.5,107.6,1020.6,0.0,34.7,None,None,None,0.18,2018-07-18,cloudberry,65.183608433863-28.708394121341-2018-07-18-cloudberry
61.83911284431336,23.96046157266524,15.5,8.9,12.5,15.5,7.8,12.2,10.9,89.9,14.0,86.3,1018.8,88.0,22.3,None,None,None,0.54,2020-09-03,lingonberry,61.839112844313-23.960461572665-2020-09-03-lingonberry
62.42983564954441,22.543331909585323,16.2,9.4,12.7,16.2,8.1,12.5,8.7,78.1,24.1,239.7,1014.5,38.9,34.7,268.4,16.6,8.0,0.34,2022-08-07,bilberry,62.429835649544-22.543331909585-2022-08-07-bilberry
69.57940593185836,28.79786167051738,17.6,11.0,13.8,17.6,11.0,13.8,12.6,92.7,17.9,15.6,1020.0,75.8,32.4,None,None,None,0.45,2018-07-26,cloudberry,69.579405931858-28.797861670517-2018-07-26-cloudberry
65.09981379678213,25.93570113903425,10.3,3.8,6.8,10.3,2.5,5.7,3.1,78.2,14.2,227.8,1026.0,78.2,32.8,178.6,8.8,6.0,0.43,2022-09-08,lingonberry,65.099813796782-25.935701139034-2022-09-08-lingonberry
61.09838027511578,23.103620044219923,22.0,14.3,18.5,22.0,14.3,18.5,15.6,84.4,15.4,212.3,1015.5,62.0,26.7,193.6,9.8,5.0,0.0,2019-08-30,lingonberry,61.098380275116-23.103620044220-2019-08-30-lingonberry
66.34364154857263,29.233787068132383,16.7,11.7,13.5,16.7,11.7,13.5,12.4,93.2,14.6,127.2,1003.0,79.7,18.2,None,None,None,0.46,2019-08-14,cloudberry,66.343641548573-29.233787068132-2019-08-14-cloudberry
66.44148462303215,25.43038200938423,19.7,7.1,14.3,19.7,7.1,14.3,8.2,70.1,7.1,186.9,1005.2,2.7,34.5,None,None,None,0.5,2020-08-03,bilberry,66.441484623032-25.430382009384-2020-08-03-bilberry
60.331565669914056,25.007707023099314,26.0,13.3,21.5,26.0,13.3,21.5,15.6,71.4,18.0,194.6,1012.0,20.5,12.1,313.3,20.2,9.0,0.35,2018-07-23,bilberry,60.331565669914-25.007707023099-2018-07-23-bilberry
65.9930867447703,28.542032708693547,10.0,6.5,8.1,7.9,3.9,6.0,7.2,94.3,18.4,323.6,1006.5,95.4,9.9,None,None,None,0.1,2018-08-14,lingonberry,65.993086744770-28.542032708694-2018-08-14-lingonberry
66.43907115539295,25.206277537213545,22.1,8.6,16.5,22.1,8.6,16.4,11.3,74.5,11.0,153.7,1018.4,12.4,26.2,275.7,23.8,7.0,0.25,2020-07-27,bilberry,66.439071155393-25.206277537214-2020-07-27-bilberry
66.34027905923571,29.45692335772093,16.5,11.7,13.4,16.5,11.7,13.4,12.3,93.4,14.0,126.1,1003.0,79.5,18.2,None,None,None,0.46,2019-08-14,bilberry,66.340279059236-29.456923357721-2019-08-14-bilberry
60.77419721765667,24.612965020234785,22.0,11.6,16.9,22.0,11.6,16.9,12.9,78.4,15.4,352.2,1013.6,65.0,42.1,229.8,15.7,8.0,0.42,2022-07-11,bilberry,60.774197217657-24.612965020235-2022-07-11-bilberry
60.70362973103107,26.26724698462514,15.7,9.9,12.7,15.7,8.7,12.6,11.3,91.7,23.7,234.7,1005.1,72.6,34.4,113.7,5.7,4.0,0.73,2020-09-09,lingonberry,60.703629731031-26.267246984625-2020-09-09-lingonberry
61.23611741062167,25.50970744432833,17.3,9.8,13.5,17.3,9.8,13.5,9.1,75.7,10.8,219.4,1009.7,58.1,41.4,None,None,None,0.67,2020-07-10,bilberry,61.236117410622-25.509707444328-2020-07-10-bilberry
60.51811075857231,25.54280079565545,19.2,17.6,18.1,19.2,17.6,18.1,15.8,86.5,23.4,167.9,1012.0,81.9,24.8,36.6,3.3,2.0,0.12,2020-08-22,lingonberry,60.518110758572-25.542800795655-2020-08-22-lingonberry
66.44357657238494,25.654530691515745,14.4,7.0,10.4,14.4,6.1,10.2,8.5,89.0,18.3,222.1,1006.3,76.6,29.3,None,None,None,0.0,2021-09-07,lingonberry,66.443576572385-25.654530691516-2021-09-07-lingonberry
66.17769341440211,27.88754109847376,10.1,1.8,5.4,10.1,-1.0,3.5,1.2,76.0,14.6,259.2,1024.8,61.2,38.9,None,None,None,0.43,2022-09-08,lingonberry,66.177693414402-27.887541098474-2022-09-08-lingonberry
65.27557877910549,28.50001808906843,15.0,9.4,12.2,15.0,8.2,12.0,7.3,73.6,15.3,320.7,1007.8,65.1,30.6,None,None,None,0.86,2018-08-07,bilberry,65.275578779105-28.500018089068-2018-08-07-bilberry
63.7255682905868,23.962165686083218,26.5,11.3,20.6,26.5,11.3,20.6,12.7,64.3,12.3,329.1,1016.5,3.1,17.0,None,None,None,0.11,2018-07-16,bilberry,63.725568290587-23.962165686083-2018-07-16-bilberry
69.57940593185836,28.79786167051738,7.8,3.3,6.1,5.1,-0.1,3.0,4.0,86.6,21.6,309.2,1003.0,62.0,32.9,None,None,None,0.07,2020-09-19,lingonberry,69.579405931858-28.797861670517-2020-09-19-lingonberry
65.54835655552685,28.082602265075213,28.8,8.4,20.5,28.8,7.8,20.5,12.5,64.5,14.3,158.7,1024.5,0.0,20.3,None,None,None,0.59,2018-07-30,cloudberry,65.548356555527-28.082602265075-2018-07-30-cloudberry
63.81931434428256,29.84466569775912,8.7,7.4,8.0,6.2,5.0,5.6,6.0,87.0,18.3,355.6,1013.0,93.5,31.9,None,None,None,0.94,2019-07-30,lingonberry,63.819314344283-29.844665697759-2019-07-30-lingonberry
65.27557877910549,28.50001808906843,14.5,6.0,10.2,14.5,4.6,9.5,6.4,79.5,12.5,219.3,1018.3,43.5,33.7,None,None,None,0.27,2019-09-07,lingonberry,65.275578779105-28.500018089068-2019-09-07-lingonberry
62.17850910902525,23.15743069734256,8.6,5.6,7.3,6.2,3.0,4.5,5.4,88.1,20.4,345.7,1012.1,93.4,35.4,None,None,None,0.82,2022-09-20,lingonberry,62.178509109025-23.157430697343-2022-09-20-lingonberry
61.58470220649786,29.26069108239177,20.9,11.6,16.7,20.9,11.6,16.7,9.9,66.9,18.3,289.4,1006.4,18.5,37.0,195.1,14.2,5.0,0.33,2021-07-19,bilberry,61.584702206498-29.260691082392-2021-07-19-bilberry
63.39803169438057,26.59971112265592,23.9,10.4,18.4,23.9,10.4,18.4,10.9,64.3,9.8,243.3,1014.1,18.3,41.3,None,None,None,0.89,2020-07-17,bilberry,63.398031694381-26.599711122656-2020-07-17-bilberry
64.47533545744686,26.792022750362204,14.2,3.8,10.0,14.2,2.4,9.5,9.2,94.5,14.7,162.4,1016.6,61.8,26.1,72.7,4.0,2.0,0.75,2019-08-23,lingonberry,64.475335457447-26.792022750362-2019-08-23-lingonberry
60.51811075857231,25.54280079565545,31.0,17.7,25.7,31.7,17.7,26.2,18.1,65.8,20.7,200.1,1011.5,12.9,31.5,262.7,19.9,7.0,0.19,2021-07-15,bilberry,60.518110758572-25.542800795655-2021-07-15-bilberry
66.00064797850246,26.77968780762232,19.5,13.9,16.5,19.5,13.9,16.5,14.8,90.5,23.4,195.5,998.7,78.8,32.2,None,None,None,0.95,2022-07-27,cloudberry,66.000647978502-26.779687807622-2022-07-27-cloudberry
62.47072295550728,29.909548750303458,17.6,11.0,14.2,17.6,11.0,14.2,10.4,78.6,12.5,300.5,1018.4,63.5,37.5,200.6,17.4,5.0,0.81,2020-08-13,lingonberry,62.470722955507-29.909548750303-2020-08-13-lingonberry
61.867983163323245,28.140653129185115,26.0,11.5,19.0,26.0,11.5,19.0,12.7,69.2,9.9,188.5,1021.1,1.8,31.7,320.1,19.5,6.0,0.58,2022-08-14,lingonberry,61.867983163323-28.140653129185-2022-08-14-lingonberry
65.45265915973629,28.72592281050396,12.5,10.9,11.5,12.5,10.9,11.5,10.2,91.8,16.0,29.6,1018.2,98.4,17.1,None,None,None,0.02,2022-07-29,bilberry,65.452659159736-28.725922810504-2022-07-29-bilberry
63.635949999523234,23.971753502658533,12.5,5.5,9.9,12.5,4.0,9.1,5.3,73.7,22.2,318.6,1012.1,43.9,25.5,None,None,None,0.82,2021-09-01,lingonberry,63.635949999523-23.971753502659-2021-09-01-lingonberry
62.197663074279,23.924464178366023,16.0,9.9,12.5,16.0,8.2,12.3,9.0,80.4,18.6,69.0,1026.3,75.2,20.0,None,None,None,0.66,2021-08-27,lingonberry,62.197663074279-23.924464178366-2021-08-27-lingonberry
63.39803169438057,26.59971112265592,21.9,15.5,18.2,21.9,15.5,18.2,13.0,74.1,14.8,246.2,1010.3,53.2,35.4,None,None,None,0.88,2020-08-15,lingonberry,63.398031694381-26.599711122656-2020-08-15-lingonberry
62.08894649576143,23.16877563049564,12.7,7.9,10.1,12.7,5.8,9.1,7.1,83.0,30.7,294.9,995.7,65.4,30.1,None,None,None,0.75,2020-09-10,lingonberry,62.088946495761-23.168775630496-2020-09-10-lingonberry
61.25396526114234,22.337691921206428,18.1,12.1,14.9,18.1,12.1,14.9,11.3,79.9,20.9,197.3,1005.3,71.7,32.3,107.7,4.7,2.0,0.6,2020-09-05,lingonberry,61.253965261142-22.337691921206-2020-09-05-lingonberry
66.44679563727449,26.102957885240308,19.3,5.8,13.4,19.3,5.7,13.3,8.2,74.1,7.2,100.2,1005.3,7.4,22.6,None,None,None,0.5,2020-08-03,bilberry,66.446795637274-26.102957885240-2020-08-03-bilberry
61.42372950241487,27.18738936594085,9.1,5.2,7.1,6.3,1.7,3.7,2.7,73.7,26.2,296.3,1006.3,57.6,32.5,59.6,3.0,1.0,0.26,2021-09-14,lingonberry,61.423729502415-27.187389365941-2021-09-14-lingonberry
66.07470396632671,29.21014552876297,9.3,1.8,6.0,8.2,-1.3,4.0,1.6,74.3,16.6,86.2,1025.0,71.5,32.5,None,None,None,0.56,2021-08-24,lingonberry,66.074703966327-29.210145528763-2021-08-24-lingonberry
67.14304456878698,24.23083160364509,17.6,11.0,14.0,17.6,11.0,14.0,10.9,82.4,14.7,220.7,995.1,84.6,26.7,None,None,None,0.77,2021-08-01,cloudberry,67.143044568787-24.230831603645-2021-08-01-cloudberry
60.460426507890666,22.816310845210538,21.7,8.5,16.3,21.7,8.5,16.3,9.8,69.1,13.5,185.8,1015.0,27.8,45.4,343.8,23.3,8.0,0.83,2020-07-15,bilberry,60.460426507891-22.816310845211-2020-07-15-bilberry
63.662723857046274,25.7878651630912,17.6,13.2,15.1,17.6,13.2,15.1,12.6,85.7,19.5,149.8,1006.2,83.9,33.0,65.6,3.8,2.0,0.63,2019-08-19,lingonberry,63.662723857046-25.787865163091-2019-08-19-lingonberry
66.06379129310277,24.12774113074009,7.1,-4.0,1.3,7.0,-4.0,1.0,-2.0,81.2,6.9,328.2,1018.9,23.4,48.4,None,None,None,0.85,2019-09-24,lingonberry,66.063791293103-24.127741130740-2019-09-24-lingonberry
62.94639677800591,27.98535924292085,11.2,5.1,8.0,11.2,5.1,7.6,5.3,84.1,8.2,69.9,1017.5,64.1,16.6,None,None,None,0.95,2022-09-24,lingonberry,62.946396778006-27.985359242921-2022-09-24-lingonberry
63.39172358906191,25.59915211519996,23.2,15.2,18.9,23.2,15.2,18.9,14.7,78.3,9.9,292.0,1008.0,50.3,33.4,None,None,None,0.75,2018-08-04,bilberry,63.391723589062-25.599152115200-2018-08-04-bilberry
63.563958091980005,29.013431098545688,26.0,12.9,19.8,26.0,12.9,19.8,14.3,74.0,7.9,55.4,1013.3,32.5,32.6,None,None,None,0.0,2020-07-20,bilberry,63.563958091980-29.013431098546-2020-07-20-bilberry
